市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
20440,641,100,96,61,50,680,87,92,68,50
20446,102,38,16,3,3,67,7,11,6,4
20448,65,10,6,4,5,59,22,5,3,3
20450,290,25,45,34,28,283,21,34,29,26
20451,87,5,19,13,8,139,7,22,16,10
20452,97,22,10,7,6,132,30,20,14,7
20480,1224,126,230,160,95,1293,121,281,153,94
20481,311,55,42,24,25,293,27,66,32,16
20482,344,26,51,45,29,254,25,44,35,23
20485,467,37,111,75,32,567,49,129,65,43
20486,102,8,26,16,9,179,20,42,21,12
20520,370,37,65,39,32,461,32,83,56,54
20521,370,37,65,39,32,461,32,83,56,54
20540,455,39,77,68,36,464,42,75,57,38
20541,340,25,60,49,28,298,22,43,37,28
20543,115,14,17,19,8,166,20,32,20,10
20560,563,84,107,75,41,744,97,137,94,50
20561,313,29,63,39,24,436,62,79,50,31
20562,108,29,10,11,8,134,15,22,14,12
20563,142,26,34,25,9,174,20,36,30,7
20580,519,47,74,77,59,572,78,92,40,36
20583,222,23,34,34,20,237,32,33,18,19
20588,60,9,6,7,7,60,16,9,1,4
20590,237,15,34,36,32,275,30,50,21,13
20600,41,6,5,10,0,53,4,6,5,5
20602,41,6,5,10,0,53,4,6,5,5
